#node1,node2
VPS39,VPS41
ITGAM,ICAM1
STX7,STX8
VPS16,VPS39
VPS16,VPS33A
C1QA,C1QB
VPS16,VPS41
STX7,VAMP7
LAMTOR2,LAMTOR1
LAMTOR3,LAMTOR2
EEF1G,EEF1B2
ITGB2,ICAM1
BACE1,APP
CLCN7,OSTM1
VPS41,VPS33A
TOM1,TOLLIP
BLOC1S1,SNAPIN
CLU,APP
RBMX,HNRNPA0
HNRNPA0,HNRNPD
ITGAM,ITGB2
ITGAM,PTPRC
SLIT2,GPC1
LAMTOR3,LAMTOR1
BACE1,NCSTN
STX12,VAMP7
RBMX,HNRNPD
ITM2B,APP
C1QA,C1S
CD44,MSN
SDC4,MDK
GSTM1,EPHX1
LYZ,LTF
SDC4,GPC1
SDC4,SDCBP
STX8,VAMP7
ACTR1A,DCTN5
STX12,STX8
CD44,ICAM1
SLIT2,NTN1
PSAP,ASAH1
GRM2,APP
SDC4,PRKCD
COL1A2,COL1A1
C1S,C1QB
CTSB,CTSD
APP,GPC1
B2M,LYZ
MSN,ICAM1
RRAGC,LAMTOR1
CNR1,SST
GRM2,CNR1
APP,APOE
CALB2,PVALB
SDC4,GPC4
B2M,ICAM1
GPC5,GPC1
GPC5,GPC4
SNRPE,HNRNPD
VPS16,STX7
ITM2B,BACE1
RBMX,U2AF1
HIST1H1B,CBX5
CTSB,APP
VPS39,VPS33A
CD44,COL1A1
GRM2,SST
SNRPE,U2AF1
SST,APP
APP,LYZ
GPC5,SDC4
CLU,VWF
ITM2B,LYZ
HNRNPD,U2AF1
SDC4,APOE
CD44,COL1A2
GPC1,APOE
GPC5,APOE
B2M,CD44
EPHX1,GSTM5
NCSTN,APP
FLT1,GPC1
B2M,APP
APP,VWF
APBB1IP,VWF
B2M,ITM2B
CNR1,APP
WASF2,ARPC1B
STX12,VPS33A
PRKCD,PRKCG
B2M,LTF
C4A,C4BPA
PRKCD,ICAM1
GPC4,GPC1
GPC4,APOE
APP,LTF
HEXA,HEXB
COL25A1,COL1A1
ICAM1,PRKCG
COL25A1,COL1A2
RGS6,CNR1
HNRNPA0,U2AF1
EDIL3,ITGB5
SLIT2,SLIT1
RGS6,SST
ARL8A,ARL8B
GABRA5,GABRA1
GSTM1,GSTM5
CENPV,ARL8A
SNRPE,HNRNPA0
PLD3,DGKG
SNRPE,RBMX
ITM2B,LTF
RGS6,APP
RGS6,GRM2
CENPV,ARL8B
VAMP1,VAMP7
VAMP1,STX7
NRXN1,SYT13
EEF1G,FLNC
APP,CTSD
STX7,VPS33A
SLIT1,NTN1
NPC1,CTSD
CLU,LTF
GAP43,NRGN
SNRPE,ICAM1
VPS41,VAMP7
STX7,VPS41
VAMP1,STX12
VPS16,VAMP7
APP,BLMH
VPS39,VAMP7
CLSTN1,APP
COL25A1,APP
WASF2,RAC2
VAMP1,STX8
ITGB5,COL1A1
ITM2B,APLP1
RRAGC,LAMTOR2
STX8,VPS33A
COL1A2,ITGB5
PTPRC,ICAM1
FLNC,ITGB5
STX12,VPS41
LAMP1,CTSD
CYBA,RAC2
SST,PVALB
LAMP2,ANXA4
VPS33A,VAMP7
SERPINE2,MDK
SDC4,COL1A2
RAN,RANBP6
ICAM1,VWF
VWF,VTN
PRKCD,HIST1H1B
PSAP,CTSD
ITGB5,VWF
ITGB5,PRKCG
CALB2,SST
VPS16,STX12
SDC4,COL1A1
WASF2,DKK3
CTSB,APOE
ACTR1A,LCP1
CNN3,LCP1
LAMTOR3,RRAGC
ANXA2,CTSB
ITM2C,BACE1
LAMP1,NCSTN
LAMP2,CTSD
NCSTN,APLP2
BACE1,APLP2
TIMP2,VTN
ICAM1,APOE
C4A,C1S
CLU,APOE
IGSF9B,SLIT1
SLIT2,IGSF9B
CLU,LYZ
TAGLN2,LCP1
SLIT1,GPC1
PTPRC,VWF
CD44,PTPRC
STX7,VPS39
C4A,C1QA
CTSB,LAMP1
FLT1,VWF
SFPQ,U2AF1
DSP,VIM
PTPRC,ITGB2
SCIN,RAC2
RAN,U2AF1
GRM2,APLP2
ARSB,HEXB
CLCN3,OSTM1
RPL21,EEF1B2
PSAP,CTSB
ANXA4,ANXA3
VWF,COL1A1
BACE1,APLP1
STX12,VPS39
PTPN6,PRKCD
LOR,SPRR1B
VPS33A,VIM
PSIP1,NCSTN
ACTR1A,MYH2
COL1A2,VWF
SLC17A6,PVALB
PGAM2,HK2
LAMP2,NCSTN
BACE1,APOE
CTSB,BACE1
LAMP1,SCARB2
ANXA2,FLT1
SNAPIN,EHD4
NRGN,PRKCG
