#node1,node2
C1qa,C1qb
Itgax,Itgb2
Eef1b2,Eef1g
Itgam,Itgb2
Vps39,Vps41
Itgam,Icam1
Clcn7,Ostm1
Icam1,Itgb2
Vav1,Ptpn6
Col1a2,Col1a1
Rac2,Vav1
Lamtor1,Lamtor2
Lamtor3,Lamtor2
Vamp7,Stx7
Stx8,Stx7
Vps33a,Vps16
Vps39,Vps16
C4b,C1qa
Vamp7,Stx12
Vps41,Vps16
Bace1,App
Hmha1,Rac2
Snapin,Bloc1s1
Inpp5d,Ptpn6
Bace1,Ncstn
Itm2b,App
Rraga,Rragc
Slit2,Ntn1
Ephx1,Gstm1
Vav1,Itgb2
Gabra5,Gabra1
Clu,App
Vps41,Vps33a
Gm5884,Tollip
Actr1a,Dctn5
Itgax,Ptprc
Grm2,App
B2m,Tapbp
F11r,Itgb2
C4b,C1qb
Arpc1b,Was
B2m,Fcgr1
Cnr1,Grm2
Slit2,Gpc1
Rac2,Hcls1
Itgam,Ptprc
Psap,Asah1
B2m,Icam1
Gpc1,Sdc4
Ncf1,Rac2
Icam1,Itgax
Stx12,Stx8
Wasf2,Vav1
Arpc1b,Wasf2
Wasf2,Rac2
Gpc4,Gpc5
B2m,Lyz1
Hnrnpd,Rbmx
Gpc1,Gpc5
Psmb8,Tapbp
Vps39,Vps33a
App,Ncstn
Hmha1,Vav1
Lcp1,Aif1
Renbp,Hexb
Gpc4,Sdc4
Hap1,Ahi1
B2m,Itm2b
Icam1,Fcgr1
Hnrnpd,U2af1
Cnr1,Sst
Renbp,Hexa
Aldh2,Akr1b7
Rbmx,U2af1
Itgb5,Col1a2
Itgb5,Col1a1
U2af1,Hnrnpa0
Hnrnpd,Hnrnpa0
Cnr1,P2ry12
Gpc5,Sdc4
Rspo3,Rspo2
Sdc4,Apoe
Lyz1,Itm2b
Rgs6,Cnr1
Vps16,Stx7
Vtn,Sdc4
Grm2,Sst
B2m,App
Rbmx,Hnrnpa0
App,Vwf
Cnr1,App
B2m,Mfge8
Lyz1,App
P2ry12,Grm2
App,Sst
Clu,Vwf
Lamtor3,Lamtor1
Gpc5,Apoe
Rgs6,Sst
Psmb8,Blmh
Gpc1,Gpc4
Gpc1,Apoe
Lyz1,Mfge8
Vamp7,Vamp1
Mdk,Serpine2
Slit2,Slit1
Rgs6,App
Rgs6,P2ry12
Mfge8,App
P2ry12,App
Rgs6,Grm2
Pld3,Dgkg
Lcp1,Vps16
Mfge8,Itm2b
P2ry12,Sst
Gpc4,Apoe
Hnrnpd,Psmb8
Vps16,Aif1
Entpd1,Pde10a
Stx12,Vps16
Apbb1ip,Vwf
Abi3,Rac2
Vamp7,Stx8
Aplp2,Bace1
Msn,Icam1
Ptprc,Itgb2
Anxa2,S100a6
Ncf1,Prkcg
Ptprc,Vav1
Rac2,Ptprc
C1qb,Csf1r
Fcer1g,Fcgr1
C1qa,Aif1
Vamp1,Stx7
Ctsd,Ctsb
Vamp1,Stx12
Rac2,Was
Vamp1,Stx8
Rac2,Itgb2
Lamtor1,Rragc
Slit1,Ntn1
Flnc,Itgb5
Sdcbp,Sdc4
C1qa,Csf1r
Hcls1,Itgb2
Itgam,Csf1r
Vps41,Stx7
Itgb5,Vtn
Wasf2,Was
Fcer1g,Vav1
Akr1b7,Hk2
Itgb5,Vwf
Vamp7,Vps16
Vps39,Vamp7
Rspo3,Sdc4
Itm2b,Aplp1
Vps41,Stx12
Fermt3,Itgb2
Eef1b2,Rpl21
Ptprc,Aif1
Col1a2,Sdc4
Ctgf,Col1a1
Prkcg,F11r
Ptprc,Csf1r
Csf1r,Ptpn6
Prkcd,F11r
Sdc4,Col1a1
C1qb,Aif1
Bace1,Itm2b
Hap1,Gabra1
Pvalb,Calb2
Prkcg,Itgb5
Csf1r,Itgb2
Hap1,Gabra5
Vamp7,Vps33a
Icam1,Ptprc
Vps41,Vamp7
Icam1,Csf1r
Itgax,Csf1r
Vamp7,Lamp1
Was,Vav1
Ranbp6,Ran
Itgax,Fcgr1
B2m,Ptprc
C1qa,Fcgr1
Fcer1g,Hcls1
Was,Hcls1
Inpp5d,Fcer1g
Ctsb,App
Aplp2,Ncstn
Vps33a,Stx12
Fermt3,Rac2
Prkcd,Rac2
Rac2,Ptpn6
Fermt3,Hcls1
Itgam,Aif1
Vps33a,Stx7
Csf1r,Aif1
Lamp2,Anxa4
Msn,Rac2
Itgam,C4b
Ostm1,Clcn6
Fcer1g,Ptpn6
Prkcg,Rac2
Fcgr1,Aif1
Vps39,Rraga
Ctsd,Npc1
Spon1,Apoe
Fermt3,Ptpn6
App,Apoe
Ostm1,Lamp1
Wasf2,Abi3
Mdk,Sdc4
Msn,Ncf1
Dock10,Rac2
Ncf1,Hcls1
Entpd1,P2ry12
Plek,Itgb2
Cenpv,App
Lcp1,Itgb2
Gap43,Nrgn
Bace1,Aplp1
Lcp1,Actr1a
Hexa,Hexb
Lyz1,C1qb
Hmha1,Fermt3
Fcer1g,Itgb2
Ptprc,Ptpn6
Tmem106b,Arl8a
Vps16,Stx8
Nrxn1,Syt13
Itgam,C1qa
Col1a2,Vim
Aplp1,App
Ostm1,Clcn3
Csf1r,Vav1
Fermt3,Was
Ctsd,Lamp1
Hcls1,Ptpn6
Vim,Col1a1
Snapin,Stx12
Eef1g,Rpl21
Lcp1,Cnn3
Vps39,Rragc
Scarb2,Lamp2
Lyz1,C1qa
Aplp2,Ctsb
C4b,Itgax
Lamp1,Scarb2
Clstn1,App
B2m,Ptpn6
Plek,Vav1
B2m,Psmb8
Prkcd,Vav1
C1qa,Itgax
Wasf2,Hcls1
Icam1,Vwf
Igsf9b,Slit1
Slit2,Igsf9b
Itgb5,Itgax
Psap,Ctsb
Plek,Ptprc
Plek,Fermt3
Inpp5d,Rac2
Fermt3,Vav1
Dock10,Ptprc
Vps39,Stx7
Vim,S100a6
Itgam,Itgb5
Anxa3,S100a6
Ptprc,Cd34
Ptn,Sdc4
Slc17a6,Calb2
Col1a2,Ctgf
Abcb9,Tapbp
Flt1,Ptprc
Msn,Itgb2
C1qb,Itgb2
Anxa2,Vim
Ptprc,Lamp2
Aplp2,Aplp1
Ncf1,Itgam
Itgam,B2m
B2m,Vav1
Itgam,Lamp2
Ptpn6,Itgb2
Fcer1g,C1qb
Ptgs1,Apoe
Lcp1,Ptprc
Hcls1,Vav1
Was,Ptprc
Plek,Rac2
Flt1,Ptpn6
Fcer1g,Csf1r
Stx12,Stx7
Stx12,Bloc1s1
Prkcd,Sdc4
Apoe,Anxa4
Vps39,Stx12
Fcer1g,C1qa
Rragc,Lamtor2
Flt1,Vwf
Fermt3,Ptprc
Eef1b2,Snrpg
Arpc1b,Capg
Npc1,Lamp2
Ptprc,Hcls1
Gpc1,App
Hmha1,Ptpn6
Psap,Ctsd
Was,Ptpn6
Vps33a,Stx8
Rac2,Ntn1
Rac2,Ntn3
Snapin,Vamp7
Aplp2,App
Rac2,Aif1
Serpine2,Timp2
Itgax,Lamp2
Icam1,Apoe
Flt1,Mdk
Lcp1,Tagln2
Inpp5d,Actr1a
Itgb5,Mfge8
Fcer1g,Aif1
Inpp5d,Vav1
Tagln2,Anxa2
Lyz1,Csf1r
Aplp2,Grm2
Capg,S100a6
Prkcd,Icam1
Ctsd,Lamp2
Fcgr1,Itgb2
Inpp5d,Ptprc
Arpc1b,Clic1
Ptprc,Vwf
C1qb,Fcgr1
Inpp5d,Fermt3
Vps29,Serpine2
Itgam,Ctgf
B2m,Itgax
Plek,Hcls1
Prkcg,Sdc4
Edil3,Itgb5
Itgam,Fcgr1
C1qa,Apoe
Ncf1,Vav1
Fcgr1,Csf1r
Gpc1,Flt1
Lcp1,Rac2
Plek,Ptpn6
Inpp5d,Hmha1
Pgam2,Pvalb
Icam1,Hcls1
Csf1r,Hcls1
Lamp1,Ctsb
Fcer1g,Ptprc
Itgax,Aif1
Rac2,Apbb1ip
Hmha1,Hcls1
Fermt3,Csf1r
Vamp1,Slc6a4
Prkcg,Icam1
Fermt3,Aif1
Hist1h2bj,Hist1h1b
Itgam,Flt1
Eef1g,Flnc
Olfml3,Col1a1
