Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,"Found in Sample: [S1] F1: 126, Sample, n/a","Found in Sample: [S2] F1: 127, Sample, APPPS1_SPR1","Found in Sample: [S3] F1: 128, Sample, APPPS1_SPR2","Found in Sample: [S4] F1: 129, Sample, APPPS1_NPR1","Found in Sample: [S5] F1: 130, Sample, APPPS1_NPR2","Found in Sample: [S6] F1: 131, Sample, WT_CONTROL",Abundance Ratio: (APPPS1_SPR1) / (APPPS1_NPR1),Abundance Ratio: (APPPS1_SPR2) / (APPPS1_NPR2),Abundance Ratio: (APPPS1_NPR1) / (WT_CONTROL),Abundance Ratio: (APPPS1_NPR2) / (WT_CONTROL),"Abundances (Normalized): F1: 126, Sample, n/a","Abundances (Normalized): F1: 127, Sample, APPPS1_SPR1","Abundances (Normalized): F1: 128, Sample, APPPS1_SPR2","Abundances (Normalized): F1: 129, Sample, APPPS1_NPR1","Abundances (Normalized): F1: 130, Sample, APPPS1_NPR2","Abundances (Normalized): F1: 131, Sample, WT_CONTROL",emPAI,# Razor Peptides,Score Sequest HT,# Peptides Sequest HT
FALSE,Master Protein,P16546,"Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4",77.18446602,281,3058,280,1,2472,284.422,5.33,High,High,High,High,High,High,0.801,0.78,1.003,1.011,519166.7,1001123.9,982942,1250470.5,1260966.4,1247121,11926.654,1,10866.22498,281
FALSE,Master Protein,Q7TMM9,Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1,77.07865169,41,2825,2,1,445,49.875,4.89,High,High,High,High,High,High,0.93,0.923,1.242,1.326,208508.1,214836.7,227814.4,230979.7,246711.6,185994.6,2.01534E+12,45,7628.091518,41
FALSE,Master Protein,P68372,Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1,77.07865169,41,2676,2,1,445,49.799,4.89,High,High,High,High,High,High,0.897,0.997,1.034,1.067,654194.5,723163.3,829554.2,806396.9,832075.7,779727.2,8.18547E+11,129,7372.710599,41
FALSE,Master Protein,Q9CWF2,Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1,77.07865169,41,2758,2,1,445,49.921,4.89,High,High,High,High,High,High,1.18,1.228,1.383,1.74,4408,8522.5,11155.4,7223.9,9084.8,5222.3,1.1053E+12,0,7309.198845,41
FALSE,Master Protein,P99024,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1,77.25225225,40,2645,6,1,444,49.639,4.89,High,High,High,High,High,High,0.962,0.861,0.922,0.967,27547.5,45798.1,42967.9,47618.3,49914.6,51638,1.35031E+11,0,7163.177176,40
FALSE,Master Protein,Q6PIC6,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Mus musculus GN=Atp1a3 PE=1 SV=1,62.19151037,83,2169,52,1,1013,111.62,5.41,High,High,High,High,High,High,0.641,0.741,1.104,1.073,545928.8,682193.7,765135.1,1063610.1,1033187.8,963130.9,1228246.006,69,7021.121077,83
FALSE,Master Protein,Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2",73.00042319,223,2030,212,1,2363,274.052,5.58,High,High,High,High,High,High,0.803,0.857,1.035,1.021,391616.6,666491,701372.4,829829.3,818503.4,801769,3082.266,14,6584.025425,223
FALSE,Master Protein,Q9ERD7,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1,75.77777778,37,2057,14,1,450,50.386,4.93,High,High,High,High,High,High,0.871,0.913,0.915,0.902,117350.1,154460.4,159766.7,177416.3,174979.8,193988.4,11052951410,5,5785.834064,37
FALSE,Master Protein,Q9D6F9,Tubulin beta-4A chain OS=Mus musculus GN=Tubb4a PE=1 SV=3,76.8018018,39,2091,10,1,444,49.554,4.88,High,High,High,High,High,High,0.849,0.982,0.962,0.898,45972.9,102226.2,110503,120467.1,112490.7,125287.5,44892512581,0,5631.35408,39
FALSE,Master Protein,P05064,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2,89.83516484,43,1519,34,1,364,39.331,8.09,High,High,High,High,High,High,0.84,0.868,1.119,1.169,491947.4,442371.2,477375.4,526545.9,550004.7,470592.2,20892960.31,21,5558.664824,43
FALSE,Master Protein,P68369,Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1,63.41463415,35,1523,1,1,451,50.104,5.06,High,High,High,High,High,High,1.012,1.141,1.045,1.011,11844,44298.9,48268.5,43755.2,42306.9,41864,2754227.703,8,4854.842933,35
FALSE,Master Protein,Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus GN=Atp1a2 PE=1 SV=1,63.1372549,82,1478,51,1,1020,112.145,5.55,High,High,High,High,High,High,0.898,0.999,0.949,0.884,156313.2,248171.1,257250.4,276316.3,257387.2,291196.4,38662.538,4,4841.885421,82
FALSE,Master Protein,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1,56.20723363,75,1517,46,1,1023,112.91,5.45,High,High,High,High,High,High,0.687,0.816,0.683,0.561,171476,239900.3,234181.4,349348.5,286967.8,511472.6,28182.829,0,4818.383179,75
FALSE,Master Protein,P52480,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4,81.3559322,52,1202,52,1,531,57.808,7.47,High,High,High,High,High,High,1.099,1.102,1.061,1.042,548816.8,511178.7,503436.5,465303.8,456716.2,438426.4,58537.536,0,4522.987009,52
FALSE,Master Protein,P60710,"Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1",76.53333333,40,1311,18,1,375,41.71,5.48,High,High,High,High,High,High,0.982,1.128,0.975,1.011,1700427.2,398048.7,474121.8,405172.6,420248.5,415548.4,1211526.659,47,4497.532901,40
FALSE,Master Protein,Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,53.97014925,100,1195,100,1,1675,191.435,5.69,High,High,High,High,High,High,0.88,0.97,0.874,0.839,297206.7,388722.7,411278.3,441640,424081.1,505509.7,376.204,0,4340.358906,100
FALSE,Master Protein,P05214,Tubulin alpha-3 chain OS=Mus musculus GN=Tuba3a PE=1 SV=1,50.66666667,29,1294,1,1,450,49.928,5.1,High,High,High,High,High,High,1.064,0.878,0.6,0.549,520.3,164,123.9,154.2,141.1,256.8,524806.46,0,4259.860312,29
FALSE,Master Protein,P68368,Tubulin alpha-4A chain OS=Mus musculus GN=Tuba4a PE=1 SV=1,58.70535714,33,1302,11,1,448,49.892,5.06,High,High,High,High,High,High,0.786,0.899,0.921,0.908,25390.4,53958.7,60836,68667.3,67680.2,74517.1,1584892.192,0,4152.558186,33
FALSE,Master Protein,P20357,Microtubule-associated protein 2 OS=Mus musculus GN=Map2 PE=1 SV=2,61.54266958,133,1112,133,1,1828,199.01,4.91,High,High,High,High,High,High,0.641,0.602,1.235,1.309,211861.9,363657.5,362079.5,567382.4,601241,459420.7,804.842,0,3899.969946,133
FALSE,Master Protein,Q9QYR6,Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=2,53.20605187,161,1135,159,1,2776,299.957,5,High,High,High,High,High,High,0.706,0.703,1.018,0.98,261537.1,355612.4,341004.8,503684,484981.5,494741,304.255,3,3874.384002,161
FALSE,Master Protein,Q8C8R3,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2,52.48845562,176,1168,162,1,3898,425.999,5.17,High,High,High,High,High,High,0.859,0.828,1.084,1.116,325911.2,333642.4,330870.6,388250.4,399609.3,358081.8,40.792,20,3848.951977,176
FALSE,Master Protein,O88935,Synapsin-1 OS=Mus musculus GN=Syn1 PE=1 SV=2,69.26345609,38,1066,35,1,706,74.052,9.8,High,High,High,High,High,High,0.767,0.796,0.907,0.869,246843.1,226351.6,225141.6,295199.9,282770.1,325484.4,54554.948,12,3754.627089,38
FALSE,Master Protein,O08553,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2,72.02797203,39,995,32,1,572,62.239,6.38,High,High,High,High,High,High,1.031,1.102,0.905,0.957,170475.9,273008.6,308532.2,264691.7,279858.9,292346.1,6950.928,13,3731.519887,39
FALSE,Master Protein,P68373,Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1,59.91091314,35,1229,2,1,449,49.877,5.1,High,High,High,High,High,High,0.964,0.941,1.01,1.049,871548,417915.2,423608.5,433306.1,450272,429100.4,1737799.829,69,3645.351035,35
FALSE,Master Protein,Q9QXS1,Plectin OS=Mus musculus GN=Plec PE=1 SV=3,56.55510552,291,1132,289,1,4691,533.861,5.96,High,High,High,High,High,High,0.828,0.905,0.942,0.894,302251.6,364410.3,377783.2,440111,417474.9,466990.3,18.116,2,3626.022697,291
FALSE,Master Protein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,41.90353144,230,1081,230,1,4644,531.71,6.42,High,High,High,High,High,High,1.124,1.213,1.016,1.001,348537.1,443745.7,472004.1,394806.9,389136.1,388596,27.896,0,3501.885068,230
FALSE,Master Protein,P63017,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1,66.71826625,59,1061,40,1,646,70.827,5.52,High,High,High,High,High,High,1.113,1.052,0.954,1.08,244634.9,471110.1,504661.8,423397.5,479558,443963,153477.134,37,3490.109185,59
FALSE,Master Protein,O08599,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2,73.4006734,51,1052,50,1,594,67.526,6.96,High,High,High,High,High,High,0.807,0.998,0.841,0.767,245703.2,381133.7,429999.4,472274.9,430718.9,561456.6,25883.72,2,3366.232599,51
