#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
VPS39	VPS41	1850842	1849177	9606.ENSP00000326534	9606.ENSP00000309457	0	0	0	0	0	0.950	0.900	0.942	0.999
ITGAM	ICAM1	1862188	1845628	9606.ENSP00000441691	9606.ENSP00000264832	0	0	0	0	0	0.812	0.900	0.978	0.999
STX7	STX8	1854689	1848716	9606.ENSP00000356918	9606.ENSP00000305255	0	0	0	0	0	0.916	0.800	0.978	0.999
VPS16	VPS39	1857223	1850842	9606.ENSP00000369810	9606.ENSP00000326534	0	0	0	0	0.112	0.950	0.900	0.915	0.999
VPS16	VPS33A	1857223	1845926	9606.ENSP00000369810	9606.ENSP00000267199	0	0	0	0	0	0.999	0	0.790	0.999
C1QA	C1QB	1856156	1849670	9606.ENSP00000363773	9606.ENSP00000313967	0	0	0	0.862	0.384	0.991	0.900	0.842	0.999
VPS16	VPS41	1857223	1849177	9606.ENSP00000369810	9606.ENSP00000309457	0	0	0	0	0	0.998	0.900	0.842	0.999
STX7	VAMP7	1854689	1845189	9606.ENSP00000356918	9606.ENSP00000262640	0	0	0	0	0.065	0.932	0.540	0.981	0.999
LAMTOR2	LAMTOR1	1854774	1846579	9606.ENSP00000357288	9606.ENSP00000278671	0	0	0	0	0	0.984	0.900	0.835	0.999
LAMTOR3	LAMTOR2	1861620	1854774	9606.ENSP00000424183	9606.ENSP00000357288	0	0	0	0	0.109	0.997	0.900	0.500	0.999
EEF1G	EEF1B2	1851407	1843444	9606.ENSP00000331901	9606.ENSP00000236957	0	0	0	0	0.739	0.999	0.900	0.953	0.999
ITGB2	ICAM1	1848511	1845628	9606.ENSP00000303242	9606.ENSP00000264832	0	0	0	0	0	0.963	0.900	0.870	0.999
BACE1	APP	1850057	1846936	9606.ENSP00000318585	9606.ENSP00000284981	0	0	0	0	0	0.915	0.900	0.793	0.998
CLCN7	OSTM1	1857566	1842359	9606.ENSP00000372193	9606.ENSP00000193322	0	0	0	0	0	0.576	0.900	0.975	0.998
VPS41	VPS33A	1849177	1845926	9606.ENSP00000309457	9606.ENSP00000267199	0	0	0	0	0	0.994	0	0.548	0.997
TOM1	TOLLIP	1861034	1849729	9606.ENSP00000413697	9606.ENSP00000314733	0	0	0	0	0	0.961	0	0.946	0.997
